// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\e1baccc7-6e5d-4b56-b052-349d46c86275
// command took 2.55s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\e1baccc7-6e5d-4b56-b052-349d46c86275
// command took 4.15s and exited with 0
// ***** Done, took 00:00:06 (6.98 sec)   *****
// Found 2 benchmarks:
//   ForVSForeach.TestForLoop: DefaultJob
//   ForVSForeach.TestForeachLoop: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForVSForeach.TestForLoop: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e1baccc7-6e5d-4b56-b052-349d46c86275.dll" --benchmarkName "ForVSForeachPerformance.ForVSForeach.TestForLoop" --job "Default" --benchmarkId 0 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\e1baccc7-6e5d-4b56-b052-349d46c86275\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadPilot   20: 8388608 op, 19324020.32 ns, 2.3036 ns/op
WorkloadPilot   21: 16777216 op, 36845826.85 ns, 2.1962 ns/op
WorkloadPilot   22: 33554432 op, 70222155.12 ns, 2.0928 ns/op
WorkloadPilot   23: 67108864 op, 143793831.41 ns, 2.1427 ns/op
WorkloadPilot   24: 134217728 op, 286261347.26 ns, 2.1328 ns/op
WorkloadPilot   25: 268435456 op, 589695509.02 ns, 2.1968 ns/op

OverheadWarmup   1: 268435456 op, 497184907.06 ns, 1.8522 ns/op
OverheadWarmup   2: 268435456 op, 492918598.07 ns, 1.8363 ns/op
OverheadWarmup   3: 268435456 op, 496796530.36 ns, 1.8507 ns/op
OverheadWarmup   4: 268435456 op, 482902855.13 ns, 1.7990 ns/op
OverheadWarmup   5: 268435456 op, 498801137.63 ns, 1.8582 ns/op
OverheadWarmup   6: 268435456 op, 491285227.86 ns, 1.8302 ns/op

OverheadActual   1: 268435456 op, 495419889.92 ns, 1.8456 ns/op
OverheadActual   2: 268435456 op, 492145856.06 ns, 1.8334 ns/op
OverheadActual   3: 268435456 op, 493940047.04 ns, 1.8401 ns/op
OverheadActual   4: 268435456 op, 491198435.70 ns, 1.8299 ns/op
OverheadActual   5: 268435456 op, 485133559.65 ns, 1.8073 ns/op
OverheadActual   6: 268435456 op, 497913888.31 ns, 1.8549 ns/op
OverheadActual   7: 268435456 op, 494269711.39 ns, 1.8413 ns/op
OverheadActual   8: 268435456 op, 485483281.02 ns, 1.8086 ns/op
OverheadActual   9: 268435456 op, 501134679.92 ns, 1.8669 ns/op
OverheadActual  10: 268435456 op, 502785554.43 ns, 1.8730 ns/op
OverheadActual  11: 268435456 op, 489199298.52 ns, 1.8224 ns/op
OverheadActual  12: 268435456 op, 484127791.62 ns, 1.8035 ns/op
OverheadActual  13: 268435456 op, 492020043.88 ns, 1.8329 ns/op
OverheadActual  14: 268435456 op, 488084493.27 ns, 1.8183 ns/op
OverheadActual  15: 268435456 op, 488643172.25 ns, 1.8203 ns/op

WorkloadWarmup   1: 268435456 op, 578085051.22 ns, 2.1535 ns/op
WorkloadWarmup   2: 268435456 op, 576987020.92 ns, 2.1494 ns/op
WorkloadWarmup   3: 268435456 op, 592158874.88 ns, 2.2060 ns/op
WorkloadWarmup   4: 268435456 op, 589770266.97 ns, 2.1971 ns/op
WorkloadWarmup   5: 268435456 op, 577877552.30 ns, 2.1528 ns/op
WorkloadWarmup   6: 268435456 op, 578907024.08 ns, 2.1566 ns/op
WorkloadWarmup   7: 268435456 op, 582249616.46 ns, 2.1690 ns/op
WorkloadWarmup   8: 268435456 op, 581580806.24 ns, 2.1666 ns/op

// BeforeActualRun
WorkloadActual   1: 268435456 op, 596572147.08 ns, 2.2224 ns/op
WorkloadActual   2: 268435456 op, 604031897.21 ns, 2.2502 ns/op
WorkloadActual   3: 268435456 op, 591004320.28 ns, 2.2017 ns/op
WorkloadActual   4: 268435456 op, 587720804.92 ns, 2.1894 ns/op
WorkloadActual   5: 268435456 op, 587179630.24 ns, 2.1874 ns/op
WorkloadActual   6: 268435456 op, 594704292.16 ns, 2.2154 ns/op
WorkloadActual   7: 268435456 op, 568454402.93 ns, 2.1177 ns/op
WorkloadActual   8: 268435456 op, 587073875.08 ns, 2.1870 ns/op
WorkloadActual   9: 268435456 op, 584145186.52 ns, 2.1761 ns/op
WorkloadActual  10: 268435456 op, 581071358.11 ns, 2.1647 ns/op
WorkloadActual  11: 268435456 op, 588034423.67 ns, 2.1906 ns/op
WorkloadActual  12: 268435456 op, 575460864.57 ns, 2.1438 ns/op
WorkloadActual  13: 268435456 op, 589233103.70 ns, 2.1951 ns/op
WorkloadActual  14: 268435456 op, 588686458.93 ns, 2.1930 ns/op
WorkloadActual  15: 268435456 op, 574369763.07 ns, 2.1397 ns/op

// AfterActualRun
WorkloadResult   1: 268435456 op, 104552103.20 ns, 0.3895 ns/op
WorkloadResult   2: 268435456 op, 112011853.33 ns, 0.4173 ns/op
WorkloadResult   3: 268435456 op, 98984276.40 ns, 0.3687 ns/op
WorkloadResult   4: 268435456 op, 95700761.04 ns, 0.3565 ns/op
WorkloadResult   5: 268435456 op, 95159586.36 ns, 0.3545 ns/op
WorkloadResult   6: 268435456 op, 102684248.28 ns, 0.3825 ns/op
WorkloadResult   7: 268435456 op, 76434359.05 ns, 0.2847 ns/op
WorkloadResult   8: 268435456 op, 95053831.20 ns, 0.3541 ns/op
WorkloadResult   9: 268435456 op, 92125142.63 ns, 0.3432 ns/op
WorkloadResult  10: 268435456 op, 89051314.23 ns, 0.3317 ns/op
WorkloadResult  11: 268435456 op, 96014379.78 ns, 0.3577 ns/op
WorkloadResult  12: 268435456 op, 83440820.69 ns, 0.3108 ns/op
WorkloadResult  13: 268435456 op, 97213059.81 ns, 0.3621 ns/op
WorkloadResult  14: 268435456 op, 96666415.04 ns, 0.3601 ns/op
WorkloadResult  15: 268435456 op, 82349719.18 ns, 0.3068 ns/op
GC:  0 0 0 0 268435456

// AfterAll

Mean = 0.3520 ns, StdErr = 0.0087 ns (2.47%); N = 15, StdDev = 0.0337 ns
Min = 0.2847 ns, Q1 = 0.3317 ns, Median = 0.3565 ns, Q3 = 0.3687 ns, Max = 0.4173 ns
IQR = 0.0370 ns, LowerFence = 0.2762 ns, UpperFence = 0.4242 ns
ConfidenceInterval = [0.3160 ns; 0.3880 ns] (CI 99.9%), Margin = 0.0360 ns (10.22% of Mean)
Skewness = -0.19, Kurtosis = 2.53, MValue = 2

// **************************
// Benchmark: ForVSForeach.TestForeachLoop: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e1baccc7-6e5d-4b56-b052-349d46c86275.dll" --benchmarkName "ForVSForeachPerformance.ForVSForeach.TestForeachLoop" --job "Default" --benchmarkId 1 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\e1baccc7-6e5d-4b56-b052-349d46c86275\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 351180.06 ns, 351.1801 us/op
WorkloadJitting  1: 1 op, 625049.46 ns, 625.0495 us/op

OverheadJitting  2: 16 op, 407339.70 ns, 25.4587 us/op
WorkloadJitting  2: 16 op, 491579.15 ns, 30.7237 us/op

WorkloadPilot    1: 16 op, 3282.06 ns, 205.1285 ns/op
WorkloadPilot    2: 32 op, 1823.36 ns, 56.9802 ns/op
WorkloadPilot    3: 64 op, 2917.38 ns, 45.5841 ns/op
WorkloadPilot    4: 128 op, 6199.44 ns, 48.4331 ns/op
WorkloadPilot    5: 256 op, 6564.11 ns, 25.6411 ns/op
WorkloadPilot    6: 512 op, 10210.84 ns, 19.9431 ns/op
WorkloadPilot    7: 1024 op, 25162.43 ns, 24.5727 ns/op
WorkloadPilot    8: 2048 op, 27715.15 ns, 13.5328 ns/op
WorkloadPilot    9: 4096 op, 72569.92 ns, 17.7173 ns/op
WorkloadPilot   10: 8192 op, 117424.69 ns, 14.3341 ns/op
WorkloadPilot   11: 16384 op, 265846.59 ns, 16.2260 ns/op
WorkloadPilot   12: 32768 op, 461311.30 ns, 14.0781 ns/op
WorkloadPilot   13: 65536 op, 976594.20 ns, 14.9016 ns/op
WorkloadPilot   14: 131072 op, 1972880.73 ns, 15.0519 ns/op
WorkloadPilot   15: 262144 op, 3621202.52 ns, 13.8138 ns/op
WorkloadPilot   16: 524288 op, 7442610.50 ns, 14.1957 ns/op
WorkloadPilot   17: 1048576 op, 14250325.38 ns, 13.5902 ns/op
WorkloadPilot   18: 2097152 op, 28397083.64 ns, 13.5408 ns/op
WorkloadPilot   19: 4194304 op, 59628770.22 ns, 14.2166 ns/op
WorkloadPilot   20: 8388608 op, 112325472.08 ns, 13.3902 ns/op
WorkloadPilot   21: 16777216 op, 229599191.59 ns, 13.6852 ns/op
WorkloadPilot   22: 33554432 op, 459326018.72 ns, 13.6890 ns/op
WorkloadPilot   23: 67108864 op, 910214599.10 ns, 13.5633 ns/op

OverheadWarmup   1: 67108864 op, 121116643.20 ns, 1.8048 ns/op
OverheadWarmup   2: 67108864 op, 120935036.06 ns, 1.8021 ns/op
OverheadWarmup   3: 67108864 op, 122829876.78 ns, 1.8303 ns/op
OverheadWarmup   4: 67108864 op, 119523387.02 ns, 1.7810 ns/op
OverheadWarmup   5: 67108864 op, 122758765.55 ns, 1.8292 ns/op
OverheadWarmup   6: 67108864 op, 121631926.10 ns, 1.8125 ns/op

OverheadActual   1: 67108864 op, 120451479.72 ns, 1.7949 ns/op
OverheadActual   2: 67108864 op, 120658249.29 ns, 1.7979 ns/op
OverheadActual   3: 67108864 op, 119583193.39 ns, 1.7819 ns/op
OverheadActual   4: 67108864 op, 120684505.74 ns, 1.7983 ns/op
OverheadActual   5: 67108864 op, 121426615.22 ns, 1.8094 ns/op
OverheadActual   6: 67108864 op, 121377749.04 ns, 1.8087 ns/op
OverheadActual   7: 67108864 op, 126154235.51 ns, 1.8798 ns/op
OverheadActual   8: 67108864 op, 119728333.23 ns, 1.7841 ns/op
OverheadActual   9: 67108864 op, 121468917.28 ns, 1.8100 ns/op
OverheadActual  10: 67108864 op, 118089492.93 ns, 1.7597 ns/op
OverheadActual  11: 67108864 op, 116423666.84 ns, 1.7348 ns/op
OverheadActual  12: 67108864 op, 123412259.50 ns, 1.8390 ns/op
OverheadActual  13: 67108864 op, 122115847.12 ns, 1.8197 ns/op
OverheadActual  14: 67108864 op, 124043508.40 ns, 1.8484 ns/op
OverheadActual  15: 67108864 op, 122329910.15 ns, 1.8229 ns/op

WorkloadWarmup   1: 67108864 op, 910437049.61 ns, 13.5666 ns/op
WorkloadWarmup   2: 67108864 op, 902471862.75 ns, 13.4479 ns/op
WorkloadWarmup   3: 67108864 op, 890287774.38 ns, 13.2663 ns/op
WorkloadWarmup   4: 67108864 op, 897755182.64 ns, 13.3776 ns/op
WorkloadWarmup   5: 67108864 op, 894994972.98 ns, 13.3365 ns/op
WorkloadWarmup   6: 67108864 op, 903702634.00 ns, 13.4662 ns/op
WorkloadWarmup   7: 67108864 op, 909301458.00 ns, 13.5496 ns/op
WorkloadWarmup   8: 67108864 op, 894387427.83 ns, 13.3274 ns/op

// BeforeActualRun
WorkloadActual   1: 67108864 op, 903405790.20 ns, 13.4618 ns/op
WorkloadActual   2: 67108864 op, 892650490.50 ns, 13.3015 ns/op
WorkloadActual   3: 67108864 op, 885137133.44 ns, 13.1896 ns/op
WorkloadActual   4: 67108864 op, 902557560.89 ns, 13.4492 ns/op
WorkloadActual   5: 67108864 op, 907386560.27 ns, 13.5211 ns/op
WorkloadActual   6: 67108864 op, 897433176.41 ns, 13.3728 ns/op
WorkloadActual   7: 67108864 op, 908689901.44 ns, 13.5405 ns/op
WorkloadActual   8: 67108864 op, 891161895.47 ns, 13.2793 ns/op
WorkloadActual   9: 67108864 op, 910446531.10 ns, 13.5667 ns/op
WorkloadActual  10: 67108864 op, 908697559.57 ns, 13.5406 ns/op
WorkloadActual  11: 67108864 op, 900454127.24 ns, 13.4178 ns/op
WorkloadActual  12: 67108864 op, 890847182.70 ns, 13.2747 ns/op
WorkloadActual  13: 67108864 op, 902989698.35 ns, 13.4556 ns/op
WorkloadActual  14: 67108864 op, 901199154.10 ns, 13.4289 ns/op
WorkloadActual  15: 67108864 op, 901716625.04 ns, 13.4366 ns/op

// AfterActualRun
WorkloadResult   1: 67108864 op, 782028041.16 ns, 11.6531 ns/op
WorkloadResult   2: 67108864 op, 771272741.46 ns, 11.4929 ns/op
WorkloadResult   3: 67108864 op, 763759384.40 ns, 11.3809 ns/op
WorkloadResult   4: 67108864 op, 781179811.85 ns, 11.6405 ns/op
WorkloadResult   5: 67108864 op, 786008811.23 ns, 11.7124 ns/op
WorkloadResult   6: 67108864 op, 776055427.37 ns, 11.5641 ns/op
WorkloadResult   7: 67108864 op, 787312152.40 ns, 11.7319 ns/op
WorkloadResult   8: 67108864 op, 769784146.43 ns, 11.4707 ns/op
WorkloadResult   9: 67108864 op, 789068782.06 ns, 11.7580 ns/op
WorkloadResult  10: 67108864 op, 787319810.53 ns, 11.7320 ns/op
WorkloadResult  11: 67108864 op, 779076378.20 ns, 11.6091 ns/op
WorkloadResult  12: 67108864 op, 769469433.66 ns, 11.4660 ns/op
WorkloadResult  13: 67108864 op, 781611949.31 ns, 11.6469 ns/op
WorkloadResult  14: 67108864 op, 779821405.06 ns, 11.6202 ns/op
WorkloadResult  15: 67108864 op, 780338876.00 ns, 11.6280 ns/op
GC:  0 0 0 0 67108864

// AfterAll

Mean = 11.6071 ns, StdErr = 0.0289 ns (0.25%); N = 15, StdDev = 0.1118 ns
Min = 11.3809 ns, Q1 = 11.4929 ns, Median = 11.6280 ns, Q3 = 11.7124 ns, Max = 11.7580 ns
IQR = 0.2196 ns, LowerFence = 11.1635 ns, UpperFence = 12.0418 ns
ConfidenceInterval = [11.4876 ns; 11.7267 ns] (CI 99.9%), Margin = 0.1195 ns (1.03% of Mean)
Skewness = -0.47, Kurtosis = 1.99, MValue = 2

Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\ForVSForeachPerformance.ForVSForeach-report.csv
  BenchmarkDotNet.Artifacts\results\ForVSForeachPerformance.ForVSForeach-report-github.md
  BenchmarkDotNet.Artifacts\results\ForVSForeachPerformance.ForVSForeach-report.html

// * Detailed results *
ForVSForeach.TestForLoop: DefaultJob
Runtime = .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 0.3520 ns, StdErr = 0.0087 ns (2.47%); N = 15, StdDev = 0.0337 ns
Min = 0.2847 ns, Q1 = 0.3317 ns, Median = 0.3565 ns, Q3 = 0.3687 ns, Max = 0.4173 ns
IQR = 0.0370 ns, LowerFence = 0.2762 ns, UpperFence = 0.4242 ns
ConfidenceInterval = [0.3160 ns; 0.3880 ns] (CI 99.9%), Margin = 0.0360 ns (10.22% of Mean)
Skewness = -0.19, Kurtosis = 2.53, MValue = 2
-------------------- Histogram --------------------
[0.273 ns ; 0.297 ns) | @
[0.297 ns ; 0.321 ns) | @@
[0.321 ns ; 0.349 ns) | @@
[0.349 ns ; 0.373 ns) | @@@@@@@
[0.373 ns ; 0.398 ns) | @@
[0.398 ns ; 0.429 ns) | @
---------------------------------------------------

ForVSForeach.TestForeachLoop: DefaultJob
Runtime = .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 11.6071 ns, StdErr = 0.0289 ns (0.25%); N = 15, StdDev = 0.1118 ns
Min = 11.3809 ns, Q1 = 11.4929 ns, Median = 11.6280 ns, Q3 = 11.7124 ns, Max = 11.7580 ns
IQR = 0.2196 ns, LowerFence = 11.1635 ns, UpperFence = 12.0418 ns
ConfidenceInterval = [11.4876 ns; 11.7267 ns] (CI 99.9%), Margin = 0.1195 ns (1.03% of Mean)
Skewness = -0.47, Kurtosis = 1.99, MValue = 2
-------------------- Histogram --------------------
[11.341 ns ; 11.798 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.17134.885 (1803/April2018Update/Redstone4)
Intel Core i7-6600U CPU 2.60GHz (Skylake), 1 CPU, 4 logical and 2 physical cores
Frequency=2742183 Hz, Resolution=364.6730 ns, Timer=TSC
.NET Core SDK=2.2.401
  [Host]     : .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT  [AttachedDebugger]
  DefaultJob : .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT


|          Method |       Mean |     Error |    StdDev | Gen 0 | Gen 1 | Gen 2 | Allocated |
|---------------- |-----------:|----------:|----------:|------:|------:|------:|----------:|
|     TestForLoop |  0.3520 ns | 0.0360 ns | 0.0337 ns |     - |     - |     - |         - |
| TestForeachLoop | 11.6071 ns | 0.1195 ns | 0.1118 ns |     - |     - |     - |         - |

// * Warnings *
Environment
  Summary -> Benchmark was executed with attached debugger

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Gen 0     : GC Generation 0 collects per 1000 operations
  Gen 1     : GC Generation 1 collects per 1000 operations
  Gen 2     : GC Generation 2 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ns      : 1 Nanosecond (0.000000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:54 (54.31 sec), executed benchmarks: 2

Global total time: 00:01:01 (61.3 sec), executed benchmarks: 2
// * Artifacts cleanup *
