// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\eb7d4857-5305-47a0-bb8c-feee986d8241
// command took 2.65s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\eb7d4857-5305-47a0-bb8c-feee986d8241
// command took 4.05s and exited with 0
// ***** Done, took 00:00:06 (6.97 sec)   *****
// Found 2 benchmarks:
//   ForVSForeach.LoopWithFor: DefaultJob
//   ForVSForeach.LoopWithForeach: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForVSForeach.LoopWithFor: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "eb7d4857-5305-47a0-bb8c-feee986d8241.dll" --benchmarkName "ForVSForeachPerformance.ForVSForeach.LoopWithFor" --job "Default" --benchmarkId 0 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\eb7d4857-5305-47a0-bb8c-feee986d8241\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadPilot   20: 8388608 op, 19684681.88 ns, 2.3466 ns/op
WorkloadPilot   21: 16777216 op, 38570000.62 ns, 2.2990 ns/op
WorkloadPilot   22: 33554432 op, 73985944.77 ns, 2.2050 ns/op
WorkloadPilot   23: 67108864 op, 155941817.16 ns, 2.3237 ns/op
WorkloadPilot   24: 134217728 op, 297508226.11 ns, 2.2166 ns/op
WorkloadPilot   25: 268435456 op, 579681224.78 ns, 2.1595 ns/op

OverheadWarmup   1: 268435456 op, 501071956.18 ns, 1.8666 ns/op
OverheadWarmup   2: 268435456 op, 484223700.61 ns, 1.8039 ns/op
OverheadWarmup   3: 268435456 op, 493487123.22 ns, 1.8384 ns/op
OverheadWarmup   4: 268435456 op, 493085618.28 ns, 1.8369 ns/op
OverheadWarmup   5: 268435456 op, 488565132.23 ns, 1.8200 ns/op
OverheadWarmup   6: 268435456 op, 496621122.66 ns, 1.8501 ns/op
OverheadWarmup   7: 268435456 op, 494125300.90 ns, 1.8408 ns/op

OverheadActual   1: 268435456 op, 488905372.11 ns, 1.8213 ns/op
OverheadActual   2: 268435456 op, 483965147.48 ns, 1.8029 ns/op
OverheadActual   3: 268435456 op, 497022627.59 ns, 1.8516 ns/op
OverheadActual   4: 268435456 op, 489843310.97 ns, 1.8248 ns/op
OverheadActual   5: 268435456 op, 492669526.43 ns, 1.8353 ns/op
OverheadActual   6: 268435456 op, 496843208.49 ns, 1.8509 ns/op
OverheadActual   7: 268435456 op, 490867677.32 ns, 1.8286 ns/op
OverheadActual   8: 268435456 op, 500267122.95 ns, 1.8636 ns/op
OverheadActual   9: 268435456 op, 490727278.23 ns, 1.8281 ns/op
OverheadActual  10: 268435456 op, 483398810.36 ns, 1.8008 ns/op
OverheadActual  11: 268435456 op, 490750981.97 ns, 1.8282 ns/op
OverheadActual  12: 268435456 op, 484413695.22 ns, 1.8046 ns/op
OverheadActual  13: 268435456 op, 487398543.42 ns, 1.8157 ns/op
OverheadActual  14: 268435456 op, 500830542.67 ns, 1.8657 ns/op
OverheadActual  15: 268435456 op, 494861210.94 ns, 1.8435 ns/op

WorkloadWarmup   1: 268435456 op, 571993554.04 ns, 2.1308 ns/op
WorkloadWarmup   2: 268435456 op, 585761052.42 ns, 2.1821 ns/op
WorkloadWarmup   3: 268435456 op, 583264136.64 ns, 2.1728 ns/op
WorkloadWarmup   4: 268435456 op, 591960128.12 ns, 2.2052 ns/op
WorkloadWarmup   5: 268435456 op, 576623806.65 ns, 2.1481 ns/op
WorkloadWarmup   6: 268435456 op, 587257670.26 ns, 2.1877 ns/op

// BeforeActualRun
WorkloadActual   1: 268435456 op, 583085446.89 ns, 2.1722 ns/op
WorkloadActual   2: 268435456 op, 572571560.69 ns, 2.1330 ns/op
WorkloadActual   3: 268435456 op, 588114287.05 ns, 2.1909 ns/op
WorkloadActual   4: 268435456 op, 577955592.31 ns, 2.1531 ns/op
WorkloadActual   5: 268435456 op, 604934462.80 ns, 2.2536 ns/op
WorkloadActual   6: 268435456 op, 597627875.31 ns, 2.2263 ns/op
WorkloadActual   7: 268435456 op, 582021695.85 ns, 2.1682 ns/op
WorkloadActual   8: 268435456 op, 588120486.49 ns, 2.1909 ns/op
WorkloadActual   9: 268435456 op, 585753394.28 ns, 2.1821 ns/op
WorkloadActual  10: 268435456 op, 585441963.57 ns, 2.1809 ns/op
WorkloadActual  11: 268435456 op, 568566722.21 ns, 2.1181 ns/op
WorkloadActual  12: 268435456 op, 582039929.50 ns, 2.1683 ns/op
WorkloadActual  13: 268435456 op, 617386585.80 ns, 2.2999 ns/op
WorkloadActual  14: 268435456 op, 584160502.78 ns, 2.1762 ns/op
WorkloadActual  15: 268435456 op, 603161058.18 ns, 2.2470 ns/op

// AfterActualRun
WorkloadResult   1: 268435456 op, 92334464.91 ns, 0.3440 ns/op
WorkloadResult   2: 268435456 op, 81820578.71 ns, 0.3048 ns/op
WorkloadResult   3: 268435456 op, 97363305.07 ns, 0.3627 ns/op
WorkloadResult   4: 268435456 op, 87204610.34 ns, 0.3249 ns/op
WorkloadResult   5: 268435456 op, 114183480.83 ns, 0.4254 ns/op
WorkloadResult   6: 268435456 op, 106876893.34 ns, 0.3981 ns/op
WorkloadResult   7: 268435456 op, 91270713.88 ns, 0.3400 ns/op
WorkloadResult   8: 268435456 op, 97369504.52 ns, 0.3627 ns/op
WorkloadResult   9: 268435456 op, 95002412.31 ns, 0.3539 ns/op
WorkloadResult  10: 268435456 op, 94690981.60 ns, 0.3528 ns/op
WorkloadResult  11: 268435456 op, 77815740.23 ns, 0.2899 ns/op
WorkloadResult  12: 268435456 op, 91288947.53 ns, 0.3401 ns/op
WorkloadResult  13: 268435456 op, 126635603.82 ns, 0.4718 ns/op
WorkloadResult  14: 268435456 op, 93409520.81 ns, 0.3480 ns/op
WorkloadResult  15: 268435456 op, 112410076.21 ns, 0.4188 ns/op
GC:  0 0 0 0 268435456

// AfterAll

Mean = 0.3625 ns, StdErr = 0.0124 ns (3.41%); N = 15, StdDev = 0.0479 ns
Min = 0.2899 ns, Q1 = 0.3400 ns, Median = 0.3528 ns, Q3 = 0.3981 ns, Max = 0.4718 ns
IQR = 0.0581 ns, LowerFence = 0.2528 ns, UpperFence = 0.4854 ns
ConfidenceInterval = [0.3113 ns; 0.4137 ns] (CI 99.9%), Margin = 0.0512 ns (14.12% of Mean)
Skewness = 0.68, Kurtosis = 2.68, MValue = 3.25

// **************************
// Benchmark: ForVSForeach.LoopWithForeach: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "eb7d4857-5305-47a0-bb8c-feee986d8241.dll" --benchmarkName "ForVSForeachPerformance.ForVSForeach.LoopWithForeach" --job "Default" --benchmarkId 1 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\eb7d4857-5305-47a0-bb8c-feee986d8241\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 503248.69 ns, 503.2487 us/op
WorkloadJitting  1: 1 op, 976229.52 ns, 976.2295 us/op

OverheadJitting  2: 16 op, 421197.27 ns, 26.3248 us/op
WorkloadJitting  2: 16 op, 450371.11 ns, 28.1482 us/op

WorkloadPilot    1: 16 op, 4011.40 ns, 250.7127 ns/op
WorkloadPilot    2: 32 op, 1823.36 ns, 56.9802 ns/op
WorkloadPilot    3: 64 op, 3282.06 ns, 51.2821 ns/op
WorkloadPilot    4: 128 op, 4011.40 ns, 31.3391 ns/op
WorkloadPilot    5: 256 op, 8387.48 ns, 32.7636 ns/op
WorkloadPilot    6: 512 op, 8022.81 ns, 15.6695 ns/op
WorkloadPilot    7: 1024 op, 27350.47 ns, 26.7094 ns/op
WorkloadPilot    8: 2048 op, 60535.71 ns, 29.5585 ns/op
WorkloadPilot    9: 4096 op, 103931.79 ns, 25.3740 ns/op
WorkloadPilot   10: 8192 op, 150245.26 ns, 18.3405 ns/op
WorkloadPilot   11: 16384 op, 220262.47 ns, 13.4438 ns/op
WorkloadPilot   12: 32768 op, 509083.46 ns, 15.5360 ns/op
WorkloadPilot   13: 65536 op, 1162577.41 ns, 17.7395 ns/op
WorkloadPilot   14: 131072 op, 1919273.80 ns, 14.6429 ns/op
WorkloadPilot   15: 262144 op, 4258650.86 ns, 16.2455 ns/op
WorkloadPilot   16: 524288 op, 7929813.58 ns, 15.1249 ns/op
WorkloadPilot   17: 1048576 op, 14513254.59 ns, 13.8409 ns/op
WorkloadPilot   18: 2097152 op, 29734339.39 ns, 14.1784 ns/op
WorkloadPilot   19: 4194304 op, 57254749.23 ns, 13.6506 ns/op
WorkloadPilot   20: 8388608 op, 118834155.12 ns, 14.1661 ns/op
WorkloadPilot   21: 16777216 op, 228670004.88 ns, 13.6298 ns/op
WorkloadPilot   22: 33554432 op, 454899618.30 ns, 13.5571 ns/op
WorkloadPilot   23: 67108864 op, 910512901.58 ns, 13.5677 ns/op

OverheadWarmup   1: 67108864 op, 121542216.55 ns, 1.8111 ns/op
OverheadWarmup   2: 67108864 op, 127134841.11 ns, 1.8945 ns/op
OverheadWarmup   3: 67108864 op, 122564759.54 ns, 1.8264 ns/op
OverheadWarmup   4: 67108864 op, 123544635.79 ns, 1.8410 ns/op
OverheadWarmup   5: 67108864 op, 126741358.98 ns, 1.8886 ns/op
OverheadWarmup   6: 67108864 op, 121122113.29 ns, 1.8049 ns/op

OverheadActual   1: 67108864 op, 122678537.50 ns, 1.8281 ns/op
OverheadActual   2: 67108864 op, 129178103.72 ns, 1.9249 ns/op
OverheadActual   3: 67108864 op, 119311147.36 ns, 1.7779 ns/op
OverheadActual   4: 67108864 op, 122300736.31 ns, 1.8224 ns/op
OverheadActual   5: 67108864 op, 124151816.27 ns, 1.8500 ns/op
OverheadActual   6: 67108864 op, 122903540.72 ns, 1.8314 ns/op
OverheadActual   7: 67108864 op, 129446503.02 ns, 1.9289 ns/op
OverheadActual   8: 67108864 op, 123709467.97 ns, 1.8434 ns/op
OverheadActual   9: 67108864 op, 122097613.47 ns, 1.8194 ns/op
OverheadActual  10: 67108864 op, 122182217.60 ns, 1.8207 ns/op
OverheadActual  11: 67108864 op, 123201113.86 ns, 1.8358 ns/op
OverheadActual  12: 67108864 op, 123428305.11 ns, 1.8392 ns/op
OverheadActual  13: 67108864 op, 121622079.93 ns, 1.8123 ns/op
OverheadActual  14: 67108864 op, 125557630.54 ns, 1.8710 ns/op
OverheadActual  15: 67108864 op, 126048115.68 ns, 1.8783 ns/op

WorkloadWarmup   1: 67108864 op, 904938146.00 ns, 13.4846 ns/op
WorkloadWarmup   2: 67108864 op, 915442550.70 ns, 13.6412 ns/op
WorkloadWarmup   3: 67108864 op, 906220336.13 ns, 13.5037 ns/op
WorkloadWarmup   4: 67108864 op, 914083414.56 ns, 13.6209 ns/op
WorkloadWarmup   5: 67108864 op, 910412251.84 ns, 13.5662 ns/op
WorkloadWarmup   6: 67108864 op, 908772682.20 ns, 13.5418 ns/op

// BeforeActualRun
WorkloadActual   1: 67108864 op, 908593992.45 ns, 13.5391 ns/op
WorkloadActual   2: 67108864 op, 909908638.48 ns, 13.5587 ns/op
WorkloadActual   3: 67108864 op, 899340416.01 ns, 13.4012 ns/op
WorkloadActual   4: 67108864 op, 920815277.46 ns, 13.7212 ns/op
WorkloadActual   5: 67108864 op, 905031502.27 ns, 13.4860 ns/op
WorkloadActual   6: 67108864 op, 899262740.67 ns, 13.4001 ns/op
WorkloadActual   7: 67108864 op, 925799627.52 ns, 13.7955 ns/op
WorkloadActual   8: 67108864 op, 913399288.09 ns, 13.6107 ns/op
WorkloadActual   9: 67108864 op, 904172332.77 ns, 13.4732 ns/op
WorkloadActual  10: 67108864 op, 917626941.75 ns, 13.6737 ns/op
WorkloadActual  11: 67108864 op, 891871913.73 ns, 13.2899 ns/op
WorkloadActual  12: 67108864 op, 922447918.32 ns, 13.7455 ns/op
WorkloadActual  13: 67108864 op, 913733328.52 ns, 13.6157 ns/op
WorkloadActual  14: 67108864 op, 903894087.30 ns, 13.4691 ns/op
WorkloadActual  15: 67108864 op, 920309476.06 ns, 13.7137 ns/op

// AfterActualRun
WorkloadResult   1: 67108864 op, 785392878.59 ns, 11.7033 ns/op
WorkloadResult   2: 67108864 op, 786707524.63 ns, 11.7229 ns/op
WorkloadResult   3: 67108864 op, 776139302.15 ns, 11.5654 ns/op
WorkloadResult   4: 67108864 op, 797614163.61 ns, 11.8854 ns/op
WorkloadResult   5: 67108864 op, 781830388.42 ns, 11.6502 ns/op
WorkloadResult   6: 67108864 op, 776061626.81 ns, 11.5642 ns/op
WorkloadResult   7: 67108864 op, 802598513.67 ns, 11.9596 ns/op
WorkloadResult   8: 67108864 op, 790198174.23 ns, 11.7749 ns/op
WorkloadResult   9: 67108864 op, 780971218.92 ns, 11.6374 ns/op
WorkloadResult  10: 67108864 op, 794425827.89 ns, 11.8379 ns/op
WorkloadResult  11: 67108864 op, 768670799.87 ns, 11.4541 ns/op
WorkloadResult  12: 67108864 op, 799246804.46 ns, 11.9097 ns/op
WorkloadResult  13: 67108864 op, 790532214.66 ns, 11.7798 ns/op
WorkloadResult  14: 67108864 op, 780692973.44 ns, 11.6332 ns/op
WorkloadResult  15: 67108864 op, 797108362.21 ns, 11.8778 ns/op
GC:  0 0 0 0 67108864

// AfterAll

Mean = 11.7304 ns, StdErr = 0.0380 ns (0.32%); N = 15, StdDev = 0.1471 ns
Min = 11.4541 ns, Q1 = 11.6332 ns, Median = 11.7229 ns, Q3 = 11.8778 ns, Max = 11.9596 ns
IQR = 0.2446 ns, LowerFence = 11.2663 ns, UpperFence = 12.2448 ns
ConfidenceInterval = [11.5731 ns; 11.8876 ns] (CI 99.9%), Margin = 0.1573 ns (1.34% of Mean)
Skewness = -0.13, Kurtosis = 1.78, MValue = 2

Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\ForVSForeachPerformance.ForVSForeach-report.csv
  BenchmarkDotNet.Artifacts\results\ForVSForeachPerformance.ForVSForeach-report-github.md
  BenchmarkDotNet.Artifacts\results\ForVSForeachPerformance.ForVSForeach-report.html

// * Detailed results *
ForVSForeach.LoopWithFor: DefaultJob
Runtime = .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 0.3625 ns, StdErr = 0.0124 ns (3.41%); N = 15, StdDev = 0.0479 ns
Min = 0.2899 ns, Q1 = 0.3400 ns, Median = 0.3528 ns, Q3 = 0.3981 ns, Max = 0.4718 ns
IQR = 0.0581 ns, LowerFence = 0.2528 ns, UpperFence = 0.4854 ns
ConfidenceInterval = [0.3113 ns; 0.4137 ns] (CI 99.9%), Margin = 0.0512 ns (14.12% of Mean)
Skewness = 0.68, Kurtosis = 2.68, MValue = 3.25
-------------------- Histogram --------------------
[0.280 ns ; 0.314 ns) | @@
[0.314 ns ; 0.334 ns) | @
[0.334 ns ; 0.368 ns) | @@@@@@@@
[0.368 ns ; 0.395 ns) | 
[0.395 ns ; 0.429 ns) | @@@
[0.429 ns ; 0.455 ns) | 
[0.455 ns ; 0.489 ns) | @
---------------------------------------------------

ForVSForeach.LoopWithForeach: DefaultJob
Runtime = .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 11.7304 ns, StdErr = 0.0380 ns (0.32%); N = 15, StdDev = 0.1471 ns
Min = 11.4541 ns, Q1 = 11.6332 ns, Median = 11.7229 ns, Q3 = 11.8778 ns, Max = 11.9596 ns
IQR = 0.2446 ns, LowerFence = 11.2663 ns, UpperFence = 12.2448 ns
ConfidenceInterval = [11.5731 ns; 11.8876 ns] (CI 99.9%), Margin = 0.1573 ns (1.34% of Mean)
Skewness = -0.13, Kurtosis = 1.78, MValue = 2
-------------------- Histogram --------------------
[11.402 ns ; 11.723 ns) | @@@@@@@@
[11.723 ns ; 11.993 ns) | @@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.17134.885 (1803/April2018Update/Redstone4)
Intel Core i7-6600U CPU 2.60GHz (Skylake), 1 CPU, 4 logical and 2 physical cores
Frequency=2742183 Hz, Resolution=364.6730 ns, Timer=TSC
.NET Core SDK=2.2.401
  [Host]     : .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT  [AttachedDebugger]
  DefaultJob : .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT


|          Method |       Mean |     Error |    StdDev | Gen 0 | Gen 1 | Gen 2 | Allocated |
|---------------- |-----------:|----------:|----------:|------:|------:|------:|----------:|
|     LoopWithFor |  0.3625 ns | 0.0512 ns | 0.0479 ns |     - |     - |     - |         - |
| LoopWithForeach | 11.7304 ns | 0.1573 ns | 0.1471 ns |     - |     - |     - |         - |

// * Warnings *
Environment
  Summary -> Benchmark was executed with attached debugger
MultimodalDistribution
  ForVSForeach.LoopWithFor: Default -> It seems that the distribution is bimodal (mValue = 3.25)

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Gen 0     : GC Generation 0 collects per 1000 operations
  Gen 1     : GC Generation 1 collects per 1000 operations
  Gen 2     : GC Generation 2 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ns      : 1 Nanosecond (0.000000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:52 (52.09 sec), executed benchmarks: 2

Global total time: 00:00:59 (59.07 sec), executed benchmarks: 2
// * Artifacts cleanup *
